model,dataset,scene,frame,reset,tier,n_gt,fresh_f1,reuse_f1,f1_gap,fresh_miou,reuse_miou,miou_gap,baseline_ms,optimized_ms,speedup,baseline_power_w,optimized_power_w,power_reduction_percent,baseline_energy_j,optimized_energy_j,energy_reduction_percent
3dssd,kitti_raw,2011_09_26_drive_0091_sync,56,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,66.81,56.59,1.18,43.828,49.624,-13.222,2.928011,2.808435,4.084
3dssd,kitti_raw,2011_09_26_drive_0091_sync,57,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,66.85,55.53,1.204,47.699,50.619,-6.121,3.188921,2.810676,11.861
3dssd,kitti_raw,2011_09_26_drive_0091_sync,58,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,66.64,55.27,1.206,44.251,49.445,-11.738,2.948974,2.732895,7.327
3dssd,kitti_raw,2011_09_26_drive_0091_sync,59,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,66.59,55.34,1.203,45.219,48.792,-7.901,3.011387,2.700038,10.339
3dssd,kitti_raw,2011_09_26_drive_0091_sync,60,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,66.71,56.01,1.191,44.49,48.947,-10.018,2.96796,2.741659,7.625
3dssd,kitti_raw,2011_09_26_drive_0091_sync,61,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,66.61,55.56,1.199,43.349,50.272,-15.969,2.887627,2.792952,3.279
3dssd,kitti_raw,2011_09_26_drive_0091_sync,62,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,66.46,55.48,1.198,45.428,49.831,-9.692,3.019015,2.764618,8.426
3dssd,kitti_raw,2011_09_26_drive_0091_sync,63,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,66.77,55.66,1.2,44.387,51.251,-15.464,2.963678,2.852622,3.747
3dssd,kitti_raw,2011_09_26_drive_0091_sync,64,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,66.86,54.84,1.219,45.767,53.629,-17.18,3.060001,2.941025,3.888
3dssd,kitti_raw,2011_09_26_drive_0091_sync,65,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,67.03,56.47,1.187,43.939,52.321,-19.077,2.945146,2.954357,-0.313
3dssd,kitti_raw,2011_09_26_drive_0091_sync,66,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,66.34,54.77,1.211,48.397,50.387,-4.112,3.210575,2.759847,14.039
3dssd,kitti_raw,2011_09_26_drive_0091_sync,67,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,67.45,56.43,1.195,44.605,48.866,-9.553,3.008673,2.757753,8.34
3dssd,kitti_raw,2011_09_26_drive_0091_sync,68,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,66.72,56.2,1.187,43.572,49.445,-13.478,2.907251,2.778854,4.416
