scene,frame,reset,tier,tier_name,n_gt,fresh_f1,reuse_f1,f1_gap,fresh_miou,reuse_miou,miou_gap,fresh_ms,reuse_ms,speedup,total_voxels,direct_voxels,jacobian_voxels,vfe_voxels,direct_fraction,jacobian_fraction,vfe_fraction,routed_fraction,point_reuse_fraction,mean_coverage,mean_purity
scene-1077,4,0,3,direct,18,0.5217,0.4255,0.0962,0.717,0.7111,0.0058,192.88,79.02,2.441,38350,11994,0,26356,0.3128,0.0,0.6872,0.3128,0.8157,0.4637,0.4505
scene-1077,5,1,3,direct,18,0.6047,0.6047,0.0,0.6675,0.6675,0.0,186.78,192.13,0.972,49187,0,0,49187,0.0,0.0,1.0,0.0,0.0,0.0,0.0
scene-1077,6,0,3,direct,18,0.6341,0.4681,0.1661,0.6677,0.6164,0.0512,192.52,79.66,2.417,37952,20578,0,17374,0.5422,0.0,0.4578,0.5422,0.8065,0.7619,0.6767
scene-1077,7,0,3,direct,20,0.5854,0.4737,0.1117,0.6826,0.658,0.0245,192.93,77.6,2.486,37102,13150,0,23952,0.3544,0.0,0.6456,0.3544,0.8011,0.509,0.489
scene-1077,8,0,3,direct,20,0.4878,0.3902,0.0976,0.7074,0.6838,0.0236,186.08,70.68,2.633,36117,12085,0,24032,0.3346,0.0,0.6654,0.3346,0.8007,0.4779,0.462
scene-1077,9,0,3,direct,20,0.6486,0.4651,0.1835,0.7021,0.6425,0.0596,184.91,72.04,2.567,36542,11683,0,24859,0.3197,0.0,0.6803,0.3197,0.7923,0.4651,0.4517
scene-1077,10,1,3,direct,21,0.6222,0.6222,0.0,0.6802,0.6802,0.0,191.3,190.94,1.002,47948,0,0,47948,0.0,0.0,1.0,0.0,0.0,0.0,0.0
scene-1077,11,0,3,direct,21,0.6316,0.3721,0.2595,0.7009,0.632,0.0689,194.67,73.91,2.634,35720,21422,0,14298,0.5997,0.0,0.4003,0.5997,0.792,0.8195,0.7346
scene-1077,12,0,3,direct,21,0.6154,0.5333,0.0821,0.6772,0.6487,0.0286,186.96,68.54,2.728,34433,11638,0,22795,0.338,0.0,0.662,0.338,0.7795,0.5014,0.4812
scene-1077,13,0,3,direct,21,0.5,0.4878,0.0122,0.6862,0.5937,0.0924,186.78,68.41,2.73,34284,12106,0,22178,0.3531,0.0,0.6469,0.3531,0.7715,0.5028,0.4869
scene-1077,14,0,3,direct,21,0.5714,0.4082,0.1633,0.5892,0.5871,0.0021,188.84,64.86,2.911,35287,11966,0,23321,0.3391,0.0,0.6609,0.3391,0.7544,0.4753,0.4605
scene-1077,15,1,3,direct,22,0.5,0.5,0.0,0.602,0.602,0.0,189.75,188.66,1.006,45675,0,0,45675,0.0,0.0,1.0,0.0,0.0,0.0,0.0
scene-1077,16,0,3,direct,22,0.4865,0.3902,0.0962,0.7012,0.5799,0.1213,188.36,77.57,2.428,34383,18463,0,15920,0.537,0.0,0.463,0.537,0.7598,0.7936,0.6878
scene-1077,17,0,3,direct,22,0.4324,0.3,0.1324,0.6921,0.6142,0.0779,187.59,76.54,2.451,36569,12423,0,24146,0.3397,0.0,0.6603,0.3397,0.7473,0.4758,0.4633
scene-1077,18,0,3,direct,22,0.4186,0.35,0.0686,0.5968,0.5563,0.0405,179.34,68.08,2.634,35051,12238,0,22813,0.3491,0.0,0.6509,0.3491,0.7544,0.4891,0.4744
scene-1077,19,0,3,direct,22,0.5,0.3556,0.1444,0.6333,0.5912,0.0421,190.48,76.36,2.495,35051,12152,0,22899,0.3467,0.0,0.6533,0.3467,0.7538,0.482,0.471
scene-1077,20,1,3,direct,22,0.5714,0.5714,0.0,0.6734,0.6734,0.0,181.31,189.24,0.958,45838,0,0,45838,0.0,0.0,1.0,0.0,0.0,0.0,0.0
