t_l,t_h,speedup,ia_risk,copy_risk,valid
0.45,0.81,2.8478729323337615,0.1643487505890012,0.017264648731141752,True
0.29,0.84,2.806822712065931,0.15950941907063296,0.027062280151532055,True
0.45,0.82,2.781838899533285,0.16382350313850766,0.01475693987395971,True
0.29,0.85,2.781305179149106,0.15943061714647505,0.024862200460709003,True
0.29,0.86,2.759354936671145,0.1575545330334356,0.019005287273122663,True
0.45,0.86,2.638488111682445,0.15631572383254297,0.019005287273122663,True
0.55,0.82,2.4617431601262916,0.16351086662729397,0.01475693987395971,True
0.55,0.86,2.3488144378368525,0.15540557434078273,0.019005287273122663,True
0.58,0.81,2.3301893788723564,0.16262974514787906,0.017264648731141752,True
0.67,0.69,2.2887344337339015,0.14446338724246635,0.025548720721788626,True
0.58,0.82,2.2857934206301542,0.1621329246818232,0.01475693987395971,True
0.6,0.81,2.1996592137189546,0.16195716571642874,0.017264648731141752,True
0.58,0.86,2.18811037962739,0.15353801171174714,0.019005287273122663,True
0.67,0.71,2.1841578485996798,0.1481983020868915,0.024945172747050215,True
0.6,0.82,2.160055532492438,0.1614841809461394,0.01475693987395971,True
0.61,0.81,2.125798951300686,0.15700088352690522,0.017264648731141752,True
0.61,0.82,2.0887878708929635,0.15678296624297683,0.01475693987395971,True
0.6,0.86,2.0726181438194744,0.15260638078851224,0.019005287273122663,True
0.62,0.81,2.062206718290633,0.1513826901711512,0.017264648731141752,True
0.62,0.82,2.027358704419899,0.15147303568023684,0.01475693987395971,True
0.61,0.85,2.0185018868022593,0.15028996097968045,0.024862200460709003,True
0.61,0.86,2.0069156768176715,0.14802691184922326,0.019005287273122663,True
0.62,0.85,1.9610804237768724,0.14515750192763782,0.024862200460709003,True
0.62,0.86,1.9501422503216912,0.1429107683644095,0.019005287273122663,True
0.64,0.81,1.9282544691439438,0.1475967035643242,0.017264648731141752,True
0.64,0.82,1.897753102814358,0.14794152929607107,0.01475693987395971,True
0.64,0.84,1.8506845312072233,0.14127956263656644,0.027062280151532055,True
0.64,0.85,1.8395564427348254,0.14143897170558895,0.024862200460709003,True
0.64,0.86,1.8299285694580725,0.13909540603566023,0.019005287273122663,True
0.66,0.81,1.798049071628502,0.14625933890053364,0.017264648731141752,True
0.66,0.82,1.7714994823201524,0.14675295092207558,0.01475693987395971,True
0.67,0.81,1.7410333972304048,0.13883653497700155,0.017264648731141752,True
0.67,0.82,1.7161292128115424,0.13988741795039641,0.01475693987395971,True
0.66,0.86,1.7122583581330688,0.13732474411329526,0.019005287273122663,True
0.67,0.83,1.6959135637714378,0.13700041587453662,0.019307066435143006,True
0.67,0.84,1.677547307203447,0.13285394514920326,0.027062280151532055,True
0.67,0.85,1.668398811150998,0.13317892324749822,0.024862200460709003,True
0.67,0.86,1.6604753412527222,0.13067452640768548,0.019005287273122663,True
0.72,0.81,1.4714081163182997,0.12829495743210403,0.017264648731141752,True
0.72,0.82,1.4535807354326697,0.13133963109251745,0.01475693987395971,True
0.72,0.83,1.43905127725075,0.12759782971970832,0.019307066435143006,True
0.72,0.84,1.4258054617853793,0.12191608832944026,0.027062280151532055,True
0.72,0.85,1.419191277905295,0.12270650187736548,0.024862200460709003,True
0.72,0.86,1.4134540021611344,0.11936460197542473,0.019005287273122663,True
0.74,0.81,1.383167719574403,0.12167055585399156,0.017264648731141752,True
0.74,0.82,1.3674029870500741,0.12650855648409262,0.01475693987395971,True
0.74,0.84,1.3427956084990391,0.11586946023153102,0.027062280151532055,True
0.74,0.85,1.3369275714231514,0.11702278451975526,0.024862200460709003,True
0.74,0.86,1.3318349499446474,0.11324779938499567,0.019005287273122663,True
0.78,0.81,1.207632448479998,0.11095917922870684,0.017264648731141752,True
0.78,0.84,1.1767427958566972,0.10789727762511894,0.027062280151532055,True
0.79,0.81,1.1744844561669237,0.09158984085225129,0.017264648731141752,True
0.29,0.29,18.546,1.0,0.034666640476274664,False
0.29,0.34,18.434249167817583,0.9,0.034702207197724745,False
0.29,0.37,18.08018119058876,0.6837722339831621,0.0348183047407213,False
0.29,0.38,17.947596267801217,0.5358411166387221,0.03459068657626609,False
0.29,0.39,17.713779793148248,0.36904265551980675,0.034397916550841595,False
0.29,0.43,16.767211904712166,0.31024344781254576,0.03364343060270231,False
0.29,0.45,16.041866671818777,0.34522352231076553,0.03337815688495031,False
0.29,0.46,15.612082804909996,0.3179669637574677,0.033283268873818696,False
0.29,0.47,15.357378461389317,0.306237313649024,0.03339817605834516,False
